course,grade,letter,session,term,year,credits,class_avg
CPSCÿ103,99,A+,2020W,1,4,3,81
DSCIÿ100,90,A+,2020W,1,4,3,80
FRENÿ101,90,A+,2020W,1,4,3,80
PHILÿ220,91,A+,2020W,1,4,3,83
ECONÿ494,90,A+,2017W,2,4,3,81
ECONÿ456,82,A-,2017W,2,4,3,78
CPSCÿ100,82,A-,2017W,2,4,3,81
COECÿ498,80,A-,2017W,2,4,3,78
ECONÿ493,88,A,2017W,1,4,3,77
ECONÿ455,77,B+,2017W,1,4,3,77
ECONÿ441,77,B+,2017W,1,4,3,78
COECÿ377,76,B+,2017W,1,4,3,79
COECÿ365,79,B+,2016W,1,3,3,80
COECÿ370,74,B,2016W,1,3,3,76
COECÿ371,70,B-,2016W,1,3,3,73
COECÿ491,83,A-,2016W,1,3,3,80
ECONÿ370,77,B+,2016W,1,3,3,79
ECONÿ367,69,B-,2016W,2,3,3,74
ECONÿ447,80,A-,2016W,2,3,3,76
RUSSÿ207,79,B+,2016W,2,3,3,82
ENGLÿ110,73,B,2016S,1,2,3,69
ECONÿ308,74,B,2015W,1,2,6,75
CHINÿ101,78,B+,2015W,1,2,3,75
COECÿ293,79,B+,2015W,1,2,3,76
ECONÿ327,91,A+,2015W,1,2,3,78
MATHÿ221,67,C+,2015W,1,2,3,67
ECONÿ255,81,A-,2015W,2,2,3,83
ECONÿ309,72,B,2015W,2,2,3,78
ECONÿ328,76,B+,2015W,2,2,3,73
PSYCÿ102,50,D,2014W,2,1,3,71
MATHÿ105,68,B-,2014W,2,1,3,53
ECONÿ102,68,B-,2014W,2,1,3,74
COMMÿ126,64,C+,2014W,2,1,3,72
WRDSÿ150,72,B,2014W,1,1,3,70
PSYCÿ101,66,C+,2014W,1,1,3,71
MATHÿ104,69,B-,2014W,1,1,3,67
ECONÿ101,72,B,2014W,1,1,3,75
